!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
YGL072C	YGL072C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ygl072c-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SIT4	YDL047W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: sit4-Δ	S288C	40 ug/ml fluconazole		Miranda MN, et al. (2010) PMID:20608983
SAP155	YFR040W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: sap155-Δ	S288C	40 ug/ml fluconazole		Miranda MN, et al. (2010) PMID:20608983
PDR5	YOR153W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: pdr5-Δ	S288C	20 ug/ml fluconazole		Miranda MN, et al. (2010) PMID:20608983
AZR1	YGR224W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: azr1-Δ	W303	9 ug/ml fluconazole		Tenreiro S, et al. (2000) PMID:11113970
VAM7	YGL212W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vam7-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
OCA5	YHL029C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: oca5-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SLT2	YHR030C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: slt2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
EMC5	YIL027C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: emc5-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RAV1	YJR033C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rav1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
ARV1	YLR242C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: arv1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VID22	YLR373C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vid22-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YLR374C	YLR374C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ylr374c-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
ERG5	YMR015C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: erg5-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RIM9	YMR063W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim9-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
PKR1	YMR123W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pkr1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RIM13	YMR154C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim13-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
HSC82	YMR186W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hsc82-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
HDA1	YNL021W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hda1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS21	YOR089C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps21-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
IRC14	YOR135C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: irc14-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RIM20	YOR275C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim20-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SNC2	YOR327C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: snc2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VMA13	YPR036W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vma13-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SWC3	YAL011W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: swc3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CNE1	YAL058W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cne1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUD14	YAR014C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bud14-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HIR1	YBL008W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hir1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NCL1	YBL024W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ncl1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PSY4	YBL046W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: psy4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HMT1	YBR034C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hmt1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MUM2	YBR057C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mum2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NPL4	YBR170C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: npl4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TDP1	YBR223C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tdp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MTC4	YBR255W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mtc4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUD3	YCL014W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bud3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PER1	YCR044C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: per1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RPN4	YDL020C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rpn4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PPH21	YDL134C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pph21-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PPH3	YDR075W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pph3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RAD55	YDR076W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rad55-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SSD1	YDR293C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ssd1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSN5	YDR335W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: msn5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
EAF1	YDR359C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: eaf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MUS81	YDR386W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mus81-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LRS4	YDR439W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: lrs4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NPR2	YEL062W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: npr2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CAJ1	YER048C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: caj1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BEM2	YER155C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bem2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CHD1	YER164W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: chd1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BMH1	YER177W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bmh1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBP6	YFR010W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ubp6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HXK1	YFR053C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hxk1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CWH41	YGL027C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cwh41-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CGR1	YGL029W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cgr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PMR1	YGL167C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pmr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTG2	YGL252C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rtg2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLX9	YGR081C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: slx9-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
THP2	YHR167W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: thp2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ICE2	YIL090W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ice2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PEP8	YJL053W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pep8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HAL5	YJL165C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hal5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RAV1	YJR033C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rav1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BFA1	YJR053W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bfa1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
EAF6	YJR082C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: eaf6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YJR084W	YJR084W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: yjr084w-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HIR3	YJR140C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hir3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HSL1	YKL101W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: hsl1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DBR1	YKL149C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: dbr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TOF2	YKR010C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tof2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBI4	YLL039C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ubi4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
